lat,lon,value
33.42,-111.91,53
33.52,-111.9,6
33.47,-112.22,11
33.37,-111.9,7
33.7,-112.19,1
33.42,-111.93,69
33.67,-112.29,4
33.67,-112.18,4
33.37,-111.92,3
32.6,-110.78,2
33.56,-111.92,2
34.02,-111.37,1
33.68,-111.97,5
32.95,-111.89,1
34.27,-109.78,1
33.59,-112.18,1
33.43,-112.03,3
35.74,-109.64,1
33.41,-112.19,22
33.37,-111.98,5
32.85,-113.24,1
32.89,-111.69,1
34.51,-111.99,1
33.66,-112.21,6
33.66,-114.02,1
33.41,-112.17,1
33.59,-112.14,32
33.76,-112.34,1
33.65,-112.43,1
33.78,-111.94,1
32.7,-113.92,1
33.28,-111.81,5
33.56,-112.08,10
33.52,-112.36,1
33.55,-112.25,2
33.62,-112.02,9
33.47,-111.99,7
35.58,-114.4,1
32.17,-109.95,1
33.54,-112.11,7
33.22,-111.81,7
32.16,-110.77,2
33.59,-112.22,5
35.03,-110.65,1
32.47,-111.09,1
33.37,-112.1,1
33.63,-111.9,2
33.41,-112.05,4
33.62,-112.38,5
33.54,-112.15,1
33.43,-112.05,6
32.68,-111.46,2
33.63,-111.92,5
33.6,-112.36,5
31.57,-111.06,1
33.31,-112.06,2
33.54,-111.62,1
34.59,-114.37,1
33.56,-113.35,1
33.33,-111.88,8
40.69,-89.62,1
36.05,-112.15,1
33.26,-111.8,7
34.04,-111.1,14
34.27,-109.73,1
33.33,-111.86,2
36.9,-113.9,4
33.74,-111.98,1
33.56,-113.31,1
33.47,-112.38,10
33.33,-111.84,2
33.57,-112.22,5
33.54,-112.27,6
36.41,-111.54,1
34.12,-111.35,1
33.57,-112.24,11
33.37,-112.08,1
33.26,-111.88,10
32.57,-111.33,1
33.35,-112.44,6
33.5,-112.14,6
33.57,-112.26,52
33.31,-112.02,4
33.48,-112.33,3
33.6,-112.34,5
33.31,-112,2
33.6,-112.38,2
33.06,-112.06,3
33.61,-112.43,2
34.38,-112.1,1
34.18,-112.14,1
33.29,-112,2
33.54,-112.23,8
33.61,-112.4,2
32.97,-112.12,1
32.9,-112.99,3
33.5,-111.94,11
33.6,-112.16,1
33.66,-112.39,1
34.25,-114.17,8
34.93,-111.63,3
33.39,-112.06,3
33.65,-111.87,1
33.49,-112.11,12
33.6,-112.14,2
32.66,-111.06,4
34.39,-110.53,2
33.59,-112.45,5
34.39,-110.51,1
33.39,-112.08,5
33.05,-112.04,5
32.3,-110.73,1
35.52,-113.46,1
33.7,-112.04,3
33.62,-112.34,2
35.8,-110.43,17
33.43,-112.09,1
33.65,-111.93,5
33.28,-111.14,1
33.96,-112.14,1
33.05,-112.06,17
33.6,-112.22,6
32.88,-111.69,7
33.06,-112.04,2
33.61,-112.45,1
33.49,-112.03,8
34.21,-111.34,2
33.49,-111.92,8
33.4,-112.01,1
